Vehicles Nearby,Vehicles Nearby.1,Required Chargers,DC Fast Count,vehiclesToBeCharged,text,label,Utilization Rate
118.0,118.0,2.0,8,640.0,,3,542.3728813559321
91.0,91.0,2.0,4,384.0,,3,421.978021978022
3263.0,3263.0,35.0,3,2432.0,,4,74.53263867606496
3526.0,3526.0,56.0,20,4864.0,,0,137.94668179239932
54.0,54.0,1.0,12,832.0,,3,1540.7407407407406
341.0,341.0,6.0,4,640.0,,3,187.683284457478
7659.0,7659.0,120.0,3,7872.0,,1,102.7810419114767
217.0,217.0,4.0,1,320.0,,0,147.46543778801845
20079.0,20079.0,281.0,1,18048.0,,4,89.8849544300015
75.0,75.0,2.0,1,192.0,,3,256.0
9347.0,9347.0,125.0,10,8640.0,,1,92.43607574622874
23.0,23.0,1.0,6,448.0,,3,1947.826086956522
4974.0,4974.0,70.0,3,4672.0,,1,93.92842782468837
220.0,220.0,4.0,4,512.0,,3,232.72727272727272
189.0,189.0,3.0,8,704.0,,3,372.48677248677245
72.0,72.0,2.0,4,384.0,,3,533.3333333333333
3112.0,3112.0,9.0,8,1088.0,,2,34.96143958868895
3090.0,3090.0,49.0,2,3264.0,,1,105.63106796116506
34.0,34.0,1.0,1,128.0,,3,376.4705882352941
7720.0,7720.0,117.0,12,8256.0,,1,106.94300518134713
12007.0,12007.0,188.0,22,13440.0,,0,111.93470475555927
36.0,36.0,1.0,12,832.0,,3,2311.111111111111
25.0,25.0,1.0,16,1088.0,,3,4352.0
4972.0,4972.0,78.0,10,5632.0,,0,113.27433628318585
31.0,31.0,1.0,1,128.0,,3,412.9032258064516
2764.0,2764.0,8.0,16,1536.0,,4,55.571635311143275
6.0,6.0,1.0,1,128.0,,3,2133.333333333333
13361.0,13361.0,197.0,1,12672.0,,1,94.84320035925454
10.0,10.0,1.0,1,128.0,,3,1280.0
559.0,559.0,9.0,1,640.0,,0,114.4901610017889
90.0,90.0,2.0,1,192.0,,3,213.33333333333334
65.0,65.0,2.0,1,192.0,,3,295.3846153846154
2315.0,2315.0,29.0,1,1920.0,,4,82.93736501079914
3038.0,3038.0,48.0,1,3136.0,,1,103.2258064516129
3829.0,3829.0,59.0,1,3840.0,,1,100.2872812744842
263.0,263.0,5.0,1,384.0,,0,146.00760456273764
10408.0,10408.0,125.0,1,8064.0,,4,77.47886241352806
7334.0,7334.0,93.0,1,6016.0,,4,82.02890646304881
54.0,54.0,1.0,1,128.0,,3,237.037037037037
299.0,299.0,5.0,1,384.0,,0,128.42809364548495
2985.0,2985.0,3.0,1,256.0,,2,8.576214405360135
21693.0,21693.0,339.0,1,21760.0,,1,100.30885539114
4635.0,4635.0,73.0,1,4736.0,,1,102.17907227615966
8021.0,8021.0,125.0,1,8064.0,,1,100.53609275651414
348.0,348.0,4.0,1,320.0,,1,91.95402298850574
7581.0,7581.0,113.0,1,7296.0,,1,96.2406015037594
8323.0,8323.0,130.0,1,8384.0,,1,100.73290880692059
41613.0,41613.0,629.0,1,40320.0,,1,96.89279792372577
11538.0,11538.0,122.0,1,7872.0,,4,68.22672906916276
71.0,71.0,2.0,1,192.0,,3,270.4225352112676
38.0,38.0,1.0,1,128.0,,3,336.84210526315786
250.0,250.0,4.0,1,320.0,,0,128.0
167.0,167.0,3.0,1,256.0,,3,153.2934131736527
3835.0,3835.0,58.0,1,3776.0,,1,98.46153846153847
5667.0,5667.0,89.0,1,5760.0,,1,101.64107993647433
17951.0,17951.0,210.0,1,13504.0,,4,75.22700685198596
189.0,189.0,3.0,1,256.0,,0,135.44973544973544
12231.0,12231.0,170.0,1,10944.0,,4,89.47755702722591
21635.0,21635.0,335.0,1,21504.0,,1,99.3944996533395
