Station ID,Latitude,Longitude,DC Fast Count,City,ZIP
165099,36.61759,-119.323,1,Orange Cove,93646
165116,37.67564,-121.87458,3,Pleasanton,94566
165121,32.64921,-116.967639,16,Chula Vista,91914
165184,37.75397,-122.48867,4,San Francisco,94122
165278,33.8778,-117.75102,3,Yorba Linda,92887
165415,33.92677,-116.8113,4,Cabazon,92230
165417,37.781445,-122.421319,12,San Francisco,94102
165515,32.82299,-116.90067,6,El Cajon,92021
165551,41.85129,-122.570908,1,Hornbrook,96044
165552,41.737495,-122.623505,1,Yreka,96097
165580,37.399071,-122.111216,16,Los Altos,94022
165620,41.851264,-122.571013,1,Hornbrook,96044
165623,33.877601,-117.592357,1,Corona,92882
165642,36.63769,-120.6256,6,Firebaugh,93622
165658,35.26226,-116.0811,12,Baker,92309
165779,33.661123,-115.720575,1,Indio,92201
166355,33.790954,-118.174779,2,Long Beach,90806
166439,36.995728,-120.096541,2,Madera,93638
166634,33.427276,-117.611257,1,San Clemente,92672
166702,37.300233,-121.824873,20,San Jose,95121
166703,37.4665,-121.174442,8,Patterson,95363
166705,37.872884,-122.510535,16,Marin City,94965
166707,35.645545,-120.660144,28,Paso Robles,93446
166767,37.247256,-121.874416,1,San Jose,95118
166807,33.928312,-117.558425,2,Norco,92860
166809,33.700776,-116.193157,2,Indio,92201
166810,33.997203,-117.870061,2,City of Industry,91789
166830,36.73682,-119.7212,4,Fresno,93727
166862,33.864724,-118.091532,20,Cerritos,90703
166907,33.91472,-117.88354,4,Brea,92821
166930,37.395486,-121.94524,16,Santa Clara,95054
166931,34.033065,-118.240294,16,Los Angeles,90021
166943,33.929976,-116.974252,1,Beaumont,92223
166961,33.1368,-117.22793,3,Vista,92081
167048,34.00436,-117.82223,4,Diamond Bar,91765
167126,34.272092,-118.797297,16,Simi Valley,93065
167286,38.533667,-121.496108,8,Sacramento,95822
167287,33.46293,-117.60813,16,San Clemente,92673
167424,33.922601,-118.322054,20,Hawthorne,90250
167508,36.666235,-121.810802,1,Marina,93933
167524,36.41501,-121.32015,4,Soledad,93960
167525,34.05713,-117.17875,4,Redlands,92373
167543,37.73241,-122.48944,3,San Francisco,94132
167578,38.869525,-121.303081,8,Lincoln,95648
167781,34.606457,-118.150932,20,Palmdale,93551
167895,38.29122,-122.4587,4,Sonoma,95476
168081,37.89661,-122.05708,3,Walnut Creek,94596
168097,36.834846,-121.390182,1,Hollister,95023
168109,37.78269,-121.97348,3,San Ramon,94583
168129,36.707535,-119.776604,1,Fresno,93706
168166,33.912936,-117.260825,1,Moreno Valley,92553
168207,33.12819,-117.32123,3,Carlsbad,92008
168281,38.347998,-120.7766,8,Jackson,95642
168412,38.116053,-121.259095,2,Lodi,95240
168491,33.81521,-116.54636,4,Palm Springs,92264
168516,38.913263,-120.003719,1,South Lake Tahoe,96150
169300,33.976901,-118.417884,14,"Playa Vista, CA",90094
169301,37.417306,-121.956825,16,San Jose,95134
169323,34.139958,-118.128446,4,Pasadena,91125
169324,34.134066,-118.126363,4,Pasadena,91125
169354,34.03118,-118.12415,3,Montebello,90640
169410,36.77166,-119.8633,4,Fresno,93722
169435,36.82196,-119.77134,4,Fresno,93710
169452,33.898988,-117.556885,1,Corona,92879
169467,36.639154,-120.625877,56,Firebaugh,93622
169468,37.324798,-122.036974,28,Cupertino,95014
169469,34.424815,-117.385845,20,Hesperia,92345
169470,32.819686,-117.179721,16,San Diego,92111
169471,37.502176,-121.967456,16,Fremont,94538
169472,36.448917,-119.486685,16,Traver,93673
169473,37.36063,-118.396576,12,Bishop,93514
169474,38.671345,-121.723886,8,Woodland,95776
169529,37.54004,-122.3029,4,San Mateo,94403
169532,33.748783,-117.865797,20,Santa Ana,92701
169534,37.840281,-122.294041,12,Emeryville,94608
169536,37.794181,-122.272388,12,Oakland,94607
169537,36.832117,-119.908476,12,Fresno,93722
169546,36.924196,-120.026783,10,Madera,93637
169836,37.984877,-121.336342,12,Stockton,95207
169859,36.569094,-121.951482,1,Del Monte Forest,93953
169916,40.00969,-123.79012,4,Garberville,95542
169958,34.0509,-118.08359,4,Rosemead,91770
169965,37.001203,-121.554056,12,Gilroy,95020
169966,33.689788,-117.769036,8,Irvine,92604
170044,36.737317,-119.80961,2,Fresno,93706
170047,36.719523,-119.801991,2,Fresno,93706
170188,39.151512,-123.194658,1,Ukiah,95482
170201,33.88727,-118.31617,3,Gardena,90247
170202,33.64218,-117.59864,3,Rancho Santa Margarita,92688
170204,33.70354,-117.88674,3,Santa Ana,92704
170205,37.89389,-122.53033,3,Mill Valley,94941
170206,36.25414,-120.23752,6,Coalinga,93210
170207,34.06331,-118.23718,3,Los Angeles,90012
170298,32.74757,-117.12678,4,San Diego,92104
170303,33.80387,-117.89161,4,Anaheim,92805
170314,38.94503,-119.96981,4,South Lake Tahoe,96150
170330,36.97527,-120.0818,6,Madera,93637
170331,36.57693,-119.63377,4,Selma,93662
170337,38.1031,-122.571,8,Novato,94947
170351,39.40408,-123.3501,4,Willits,95490
170352,37.5193,-122.27482,3,Belmont,94002
170353,37.38815,-121.8585,3,San Jose,95132
170354,40.45346,-122.28927,4,Anderson,96007
170356,32.79327,-115.56768,4,El Centro,92243
170380,33.984811,-117.373566,3,Riverside,92501
170388,33.662682,-117.902383,1,Costa Mesa,92626
170436,36.329342,-121.24552,12,Greenfield,93927
170437,34.03588,-118.683845,8,Malibu,90265
170472,37.35818,-121.84269,4,San Jose,95116
170525,37.944971,-122.523121,14,Greenbrae,94904
170688,37.78365,-122.4313,3,San Francisco,94115
170689,33.80336,-117.835,4,Orange,92867
170690,34.83871,-114.60962,4,Needles,92363
170695,34.266405,-118.526496,24,Granada Hills,91344
170696,33.68459,-117.851932,40,Irvine,92614
170745,33.78777,-117.94144,4,GARDEN GROVE,92840
170853,34.033121,-118.022221,4,Whittier,90601
170936,37.3141570156788,-122.058058111111,2,Cupertino,95014
170948,37.3838212839245,-122.032087322016,2,Sunnyvale,94087
170950,37.409732,-121.957668,4,San Jose,95134
170952,37.5337545387796,-122.271007318164,1,Belmont,94002
171253,38.57301,-121.579305,1,West Sacramento,95691
171391,34.10325,-117.82342,4,San Dimas,91773
171392,38.25744,-122.65122,4,Petaluma,94952
